,gp,tp,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W,ppg
8336,72,55,0.3333333333333333,0.4305555555555556,0.375,-0.09722222222222222,0,0,0,0,1,0,0.76
10380,13,4,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.15384615384615385,0,0,0,0,1,0,0.31
2193,47,1,0.0,0.02127659574468085,0.723404255319149,0.0,0,1,0,0,0,0,0.02
2355,18,0,0.0,0.0,0.4444444444444444,0.0,0,1,0,0,0,0,0.0
2461,36,5,0.027777777777777776,0.1111111111111111,0.2777777777777778,0.0,0,1,0,0,0,0,0.14
30628,6,1,0.0,0.16666666666666666,0.0,0.16666666666666666,0,1,0,0,0,0,0.17
31515,11,1,0.0,0.09090909090909091,0.36363636363636365,0.0,0,1,0,0,0,0,0.09
32479,13,0,0.0,0.0,0.38461538461538464,-0.07692307692307693,0,1,0,0,0,0,0.0
15937,74,42,0.20270270270270271,0.36486486486486486,2.9864864864864864,-0.28378378378378377,0,0,0,1,0,0,0.57
16798,60,16,0.1,0.16666666666666666,1.85,-0.3333333333333333,0,0,0,1,0,0,0.27
17411,43,21,0.32558139534883723,0.16279069767441862,3.046511627906977,0.11627906976744186,0,0,0,1,0,0,0.49
7894,1,0,0.0,0.0,0.0,-1.0,0,1,0,0,0,0,0.0
8654,3,0,0.0,0.0,0.0,-0.3333333333333333,0,1,0,0,0,0,0.0
9515,7,1,0.0,0.14285714285714285,3.0,0.0,0,1,0,0,0,0,0.14
11647,80,52,0.2,0.45,0.85,-0.25,0,1,0,0,0,0,0.65
12582,8,2,0.125,0.125,2.0,-0.375,0,1,0,0,0,0,0.25
13251,1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0
16347,6,1,0.16666666666666666,0.0,4.833333333333333,-0.5,0,1,0,0,0,0,0.17
17117,4,0,0.0,0.0,5.75,-0.5,0,1,0,0,0,0,0.0
17752,2,0,0.0,0.0,3.0,-0.5,0,1,0,0,0,0,0.0
15366,80,36,0.15,0.3,0.475,-0.05,0,0,0,1,0,0,0.45
16070,76,22,0.05263157894736842,0.23684210526315788,0.34210526315789475,0.039473684210526314,0,0,0,1,0,0,0.29
16876,55,10,0.03636363636363636,0.14545454545454545,0.2545454545454545,-0.01818181818181818,0,0,0,1,0,0,0.18
19006,13,3,0.0,0.23076923076923078,1.6923076923076923,0.5384615384615384,0,1,0,0,0,0,0.23
19861,2,0,0.0,0.0,0.0,-0.5,0,1,0,0,0,0,0.0
20668,6,0,0.0,0.0,0.6666666666666666,-0.3333333333333333,0,1,0,0,0,0,0.0
10314,53,12,0.11320754716981132,0.11320754716981132,0.24528301886792453,-0.22641509433962265,0,0,0,0,1,0,0.23
10679,74,25,0.14864864864864866,0.1891891891891892,0.7432432432432432,0.02702702702702703,0,0,0,0,1,0,0.34
11247,66,16,0.10606060606060606,0.13636363636363635,0.3333333333333333,-0.09090909090909091,0,0,0,0,1,0,0.24
14186,49,28,0.30612244897959184,0.2653061224489796,0.24489795918367346,0.02040816326530612,1,0,0,0,0,0,0.57
15159,7,0,0.0,0.0,0.2857142857142857,-0.14285714285714285,1,0,0,0,0,0,0.0
15742,1,0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0.0
30738,6,0,0.0,0.0,1.3333333333333333,0.3333333333333333,0,1,0,0,0,0,0.0
31377,44,5,0.022727272727272728,0.09090909090909091,0.4090909090909091,0.2727272727272727,0,1,0,0,0,0,0.11
32467,6,0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0,1,0,0,0,0,0.0
