playername,gp,tp,ppg,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W
Quinton Howden,97,17,0.14250000000000002,0.08836206896551724,0.052801724137931036,0.2616139846743295,-0.107088122605364,1.0,0.0,0.0,0.0,0.0,0
R.J. Umberger,779,392,0.4854545454545454,0.21862534055857752,0.26579318303466826,0.3918724930763726,-0.06989635136534852,1.0,0.0,0.0,0.0,0.0,0
Radek Bonk,1035,541,0.5079999999999999,0.1900162517942136,0.3173128565173023,0.6240368261990812,-0.025050440106610384,1.0,0.0,0.0,0.0,0.0,0
Radek Dvorak,1338,640,0.46842105263157885,0.18980431856201246,0.27931370122778154,0.35172618337437467,0.011908491671335014,0.0,0.0,0.0,0.0,1.0,0
Radek Faksa,476,158,0.32285714285714284,0.14409604527145214,0.17781906075305715,0.5975644131837622,-0.0381419247151616,1.0,0.0,0.0,0.0,0.0,0
Radek Hamr,11,0,0.0,0.0,0.0,0.0,-1.2142857142857144,0.0,1.0,0.0,0.0,0.0,0
Radek Martinek,533,117,0.21615384615384617,0.0743975100769566,0.14042381675366392,0.5633102431247882,-0.03673741506300717,0.0,1.0,0.0,0.0,0.0,0
Radek Smolenak,7,1,0.085,0.0,0.08333333333333333,3.3333333333333335,0.08333333333333333,0.0,0.0,0.0,1.0,0.0,0
Radim Bicanek,122,12,0.09142857142857143,0.0023809523809523807,0.08941455370026798,0.3846011131725418,0.07446918161203876,0.0,1.0,0.0,0.0,0.0,0
Radim Simek,165,26,0.15500000000000003,0.035958672086720864,0.11718326558265582,0.2710027100271003,-0.1715531842818428,0.0,1.0,0.0,0.0,0.0,0
Radim Vrbata,1137,648,0.5611764705882353,0.25657183315066356,0.30466531306443184,0.2940864949747943,-0.024116563191328814,0.0,0.0,0.0,0.0,1.0,0
Radim Zohorna,25,10,0.425,0.18382352941176472,0.2426470588235294,0.36764705882352944,0.6029411764705883,1.0,0.0,0.0,0.0,0.0,0
Radko Gudas,605,146,0.23500000000000001,0.05428320388117045,0.1813038945904672,1.2575171672166732,0.09261949687161582,0.0,1.0,0.0,0.0,0.0,0
Radoslav Hecl,14,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0
